Series Number,Filename,Name,Description,Gender,Attributes,UUID,Hash
TEAM BEVEL,,,,,,,50080917f5197a0c4064ba583ebf3eccd06d802b74c58a07d4e9e7b70a1bbec2
1,adewale-the-amebo,adewale the amebo,adewale the amebo,male,,cad316c3-37f8-4b27-9f53-9d803bfcfee7,87821cd7127d4f5049fad49769c92a6b682dc5762b999588b38fcbebb2de092a
2,alli-the-queeny,alli the queeny,Alli is an LGBT Stan.,male,,a57ecda4-a26f-4e97-a757-e1800af39aab,eea43482d849e1eae8f50a73613389cbd3a3b2cd9211de3921c90551a2403a63
3,aminat-the-snnobish,aminat the snnobish,Aminat never really wants to talk to anyone.,female,,0e37ed0d-3e84-4f32-a91f-ec9c4ba8c7de,f741a5d75243eeca82770c79ef94981fc497443c38cde4381379d8cc163ad7b2
4,aminu-the-carpenter,aminu the carpenter,"Aminu's hands are blessed, he makes the best furniture in the whole of Kano.",male,,4f30b751-96e7-40fe-97fd-e3d44973ff2f,db0448c06f502c44523dcdbb1c7f8ef0302cac1a66ed6db8d5ee8d40ae79dc62
5,chibuike-the-kudibag,chibuike the kudibag,Chibuike is too rich. Everyone wonders how he got it.,male,,5ce854f2-7ac1-46fd-b3fe-57583935d1e5,d82f75f1be2d50a3b5fb78c2aef59c26dfaea9932c6ce15cc331daf24ce0796e
6,chidinma-the-model,chidinma the model,"From Paris' runways, to London's streets, she's always in demand.",female,,c98db72e-49ac-4ca6-89d5-e00f5fbbcc45,6ad37c006f1910b3490ee7d948b0879886e40a4fdffe4600b56fcefc208a39ca
7,chioma-pretty- girl,chioma pretty girl,Chioma's face card is a 100.,female,,182ea888-a85b-42ca-ad73-ed4f8f9aa5c7,aacb58c30ae830838889da1eebf4267759ad16aa250d1f6bd59b650f95596e49
8,damilare-the-handsome,damilare the handsome,He's a fine boy. Everyone loves his face(and him).,male,,27eca2dc-d7df-474a-8f8f-1858152c711e,d70d464581f3d372744e5d83da606f5d996f1b82d2330424900b9bf45f92dc94
9,ebiowie-the-planter,ebiowie the planter,Ebiowei has a reputation for nurturing plants.,male,,f1df8270-4d60-4bd4-8959-ba7c384db5c4,c943c858bf12ec88ec624c40cd5f2bbfe5803d8f4d4ab61f7956f2c7ef361c26
10,emeka-the-businessman,emeka the businessman,Emeka only cares about containers. No time to waste.,male,,9b3d75da-4887-4089-aee4-50de3954fdc9,c95cfb96addc14a972b06e1d2aeda4fc1dd5e53f444549ef6a494df3f7619db2
11,gbeminyi-the-monk,gbeminyi the monk,He lives in a monastery off the coast. No one has heard him speak in years.,male,,c8b1fd1d-8551-4bb4-8dc4-923a9aeb39fb,4ef0af120b8cd25c6ddbf6d6961179098762556c8ca198c89941cd1e30d8d2fc
12,henry-the-sportsman,henry the sportsman,He's played every sport known to man. Even cricket.,male,,e1225451-bfdf-4a1f-8d37-9cce3a0bd67b,9ba77c25502ddc6445d6af38b946c482beaf921cde897c12c47ea7440e93c77f
13,mayowa-the-smallie,mayowa the smallie,Mayowa is so small but everyone loves him even still.,male,,dfbb4163-df24-4d54-b74c-6218a68df8bd,3e1ada97cff90caf31b14e1b30b09ae25736bc84fbdfb4885f5a243708455d6b
14,muyiwa-the-stylish,muyiwa the stylish,Muyiwa has a motto which is never to be caught unfresh.,male,,dcf9d5a0-57b7-4126-a05e-6c8f1045d3f7,f356d9da2e32ecc1851438824a89577bcfe8ad151144cf1728f4c0f0c8d72a3d
15,nina-paper-chaser,nina paper chaser,Nina na Igbo girl wey like money. Finish.,female,,59524227-dc52-407c-8cca-e9e8c5fb3018,3c3b42d8a6d19f426d0933512a15dc8b9d67001087131ff97b4002694ebdd8b3
16,oluwaseun-spicy,oluwaseun spicy,He loves spicy foods. He cooks pepper and sprinkles rice on top.,male,,808f7007-6552-4efa-bd13-4b7c337b102b,180e1962a9613cc8b45d77984dcb63d88cf0c90b7aaf64cdd521cec5246fda79
17,sesan-the-smartie,sesan the smartie,Sesan always comes first in competitions.,male,,ba3edda7-8940-4ca4-97ba-826398d5909f,cce7295c6a397d8ee3a8f6f6bc4f9847942c770bd479c52e58edd72a359a1bd6
18,tiwa-london,tiwa london,"If she says she's in London and you see her, you're in London too.",female,,78da7aeb-8352-4e25-89ac-dc48b5984089,1be746e8b2220379d0d276398fbf1a366405ce0bb8ccc2e7ee1f7fa4d5adb3f2
19,tunde-yoruba-demon,tunde yoruba demon,"Tunde derives joy in breaking girls heart. It's a lifestyle.""",male,,53b46bd7-a537-402b-b249-0b4074a8faae,5f0f7e9f03d62e29df4a294f19311580c0607ac78e5066c85ec0b694a6174b75
20,yakubu-the-zombie,yakubu the zombie,Yakubu earned his zombie title because na only dust full him head.,male,,4adb6781-1614-424e-8f77-fe59ffca2209,6f76c8ddfe2ab383e943e22c612d2e49362b7345de391823992171af5c1a87ed
TEAM CLUTCH,,,,,,,1e0801b9bd3ee5733e01201d8b9e76dcb961628e5c0beb4540c128ada42ead4b
21,abdul-the-vibe,abdul the vibe,abdul the life of the party and can never be caught unfresh,male,,770f817a-9d9a-4772-9a91-e66dd9d03470,2eb10a8d0d247ef5ba6fb3f818bd4f814981dbc06415d81b50ce476b1e38214f
22,emeka-the -clown,emeka the clown,"emeka the funny man, always making silly jokes",male,,78810fa6-a7ef-4d83-bf57-caf49db4ee69,c470362845f9d5a19f26e3c5a31c5c0908d64e4903049cb46aa1f0410cb9a37c
